PID,TID,FULLNAME,POS,AGE,GP,MPG,MIN,USG,Tor,FTA,FT,PA2,P2,PA3,P3,EFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
556,21,Russell Westbrook,G,30,51,35.7,74.4,31.3,17,325,0.662,768,0.474,254,0.268,0.456,0.492,22.5,11.3,16.3,11,46.8,2.18,0.45,4.67,15.8,103.5,95.5
557,27,Derrick White,G,24,47,25.2,52.5,17.1,15.3,89,0.764,260,0.542,93,0.344,0.535,0.569,9.5,3.5,7.6,3.6,19.8,1.04,0.51,1.51,7.8,110.8,105.8
558,30,Okaro White,F,26,3,2.1,4.4,13.5,0,0,0,0,0,2,0,0,0,0,0.7,17.5,0,0,0,0,0,0,,
559,16,Hassan Whiteside,C,29,53,25.4,52.9,22.4,11.3,199,0.432,524,0.567,16,0.125,0.556,0.547,12.9,12.3,25.8,0.9,5.7,0.75,2.08,1.51,8.2,109.3,94.4
560,18,Andrew Wiggins,G-F,24,54,34.7,72.4,24.4,9.2,234,0.709,635,0.419,256,0.336,0.443,0.481,17.7,4.9,7.5,2.4,10.5,1.06,0.63,1.87,6.8,98.8,110
561,2,Robert Williams III,C-F,21,22,9.1,19,10.8,15.9,10,0.6,38,0.737,0,0,0.737,0.731,2.8,2.5,14.7,0.2,3.4,0.27,1.45,0.36,4.9,133.8,94.8
562,3,Alan Williams,F-C,26,3,5.6,11.7,27,9.3,4,0.5,7,0.571,1,0,0.5,0.512,3.3,4.7,44.5,0.7,20.3,0,0,0.33,15.8,113.2,88.5
563,18,C.J. Williams,G,29,9,7.5,15.6,13.1,19,0,0,10,0.6,7,0.143,0.441,0.441,1.7,0.4,3.2,0.7,11.9,0.11,0,0.44,4.2,86.1,101.5
564,14,Johnathan Williams,F,23,7,12.8,26.6,11.2,8.3,5,0.2,20,0.55,0,0,0.55,0.518,3.3,3,12.1,0.6,5.9,0.14,0.57,0.29,5.7,118.3,91.8
565,19,Kenrich Williams,G-F,24,26,18.9,39.4,13.3,12,13,0.615,64,0.5,69,0.333,0.5,0.508,5.4,4.4,12.1,1.5,9.8,0.35,0.38,0.73,7,105.6,105.5
566,13,Lou Williams,G,32,56,26.3,54.7,32.7,11.9,357,0.896,627,0.445,216,0.366,0.472,0.557,19.9,2.9,5.9,5.4,34.1,0.66,0.14,2.41,10.3,112,111.8
567,4,Marvin Williams,F,32,59,28.4,59.1,14.9,5.3,72,0.75,206,0.519,313,0.367,0.539,0.557,10.4,5.7,10.8,1.2,6,0.88,0.75,0.53,5.8,114.9,105.8
568,26,Troy Williams,F,24,18,15.9,33.1,14.6,7.9,15,0.6,46,0.565,41,0.341,0.54,0.55,5.7,3.1,9.9,0.6,4.6,0.56,0.44,0.44,5.5,108.6,101.5
569,17,D.J. Wilson,F,23,30,18.3,38.1,13.8,10.6,28,0.393,73,0.507,75,0.373,0.534,0.527,5.6,4.6,13,0.9,6.5,0.4,0.6,0.63,6.2,106.2,95.7
570,16,Justise Winslow,F,22,52,29.7,61.9,20.7,15.1,113,0.646,386,0.448,199,0.372,0.485,0.505,12.3,5.5,9.8,4.2,21.3,1.02,0.29,2.17,8.9,101.6,102
571,17,Christian Wood,F,23,12,4.6,9.5,25.2,9.2,15,0.667,19,0.474,4,0.5,0.522,0.574,2.8,1.6,18,0.2,5.3,0,0,0.25,8.4,113.6,100.9
572,28,Delon Wright,G,26,49,18.3,38.1,16.9,10.4,61,0.869,203,0.478,90,0.333,0.485,0.527,6.9,2.6,7.5,2.2,16.9,0.94,0.31,0.76,7.4,113.2,105.7
573,15,Delon Wright,G,26,6,28,58.2,16.8,8,10,0.9,35,0.457,18,0.222,0.415,0.462,8.8,4.7,9.5,3.5,19.2,1,0.5,0.83,7.5,102.6,103.9
574,2,Guerschon Yabusele,F,23,30,5.6,11.7,16.4,17.1,12,0.75,31,0.548,17,0.235,0.479,0.516,1.8,1.1,10.4,0.4,9.5,0.23,0.23,0.37,6.6,104.5,94.3
575,8,Nick Young,G-F,33,4,9.3,19.3,12.6,18.2,0,0,1,0,8,0.375,0.5,0.5,2.3,0.3,1.5,0.5,6.7,0,0.25,0.5,3,89.5,106.2
576,12,Thaddeus Young,F,30,61,30.3,63.1,18.1,11.2,103,0.631,544,0.561,93,0.355,0.557,0.567,12.7,6.4,11.8,2.2,10.5,1.62,0.49,1.41,7.4,113.9,99.7
577,1,Trae Young,G,20,61,30.4,63.3,27.5,19.1,277,0.809,542,0.461,350,0.329,0.474,0.527,17.5,3.3,5.7,7.7,39.1,0.82,0.21,3.92,10,103.8,114.3
578,4,Cody Zeller,F-C,26,43,25.3,52.8,15.9,13.4,122,0.803,275,0.585,20,0.25,0.571,0.624,10.1,6.8,14.5,2.1,12.2,0.77,0.91,1.26,8.3,125.9,100.1
579,6,Ante Zizic,C,22,44,17,35.4,18.1,13.2,88,0.739,230,0.539,0,0,0.539,0.582,7.1,5.2,17,0.7,6.3,0.25,0.39,0.93,7,114.6,106.1
580,14,Ivica Zubac,C,21,33,15.6,32.6,20.5,12.9,66,0.864,193,0.58,0,0,0.58,0.633,8.5,4.9,16.3,0.8,7.3,0.15,0.82,1,8.3,120.9,97.5
581,13,Ivica Zubac,C,21,6,19.8,41.3,19.9,16.1,16,0.813,40,0.5,0,0,0.5,0.563,8.8,6.7,17.9,1.2,8.7,0.33,0.83,1.5,8.4,107.2,97
